pattern_code,name,name_ja,medium,sub_medium,genre,era,region,description,description_ja,structural_role,coordinate_json,typography_json,color_json,hierarchy_levels,visual_complexity,use_when,use_when_ja,avoid_when
BK-LIT-0011,Modern Literary Cover,モダン文芸表紙,book,literary,literary,2000-2026,us,Pattern BK-LIT-0011,モダン文芸表紙パターン,cover,"{""trim_size_mm"": [105, 148], ""bleed_mm"": 3, ""margin_mm"": {""inner"": 15, ""top"": 18, ""outer"": 20, ""bottom"": 24}, ""type_area_mm"": {""x"": 15, ""y"": 18, ""w"": 93, ""h"": 152}, ""columns"": 1, ""gutter_mm"": 0, ""baseline_grid_pt"": 18.0, ""trim_size_name"": ""\u65b0\u66f8\u5224""}","{""primary_face"": ""Hiragino Mincho"", ""size_pt"": 10, ""leading_pt"": 18.0, ""tracking_em"": 0.02, ""measure_chars"": 40}","{""primary"": ""#000000"", ""bg"": ""#FFFFFF""}",2,1,Use in literary,literaryで使用,Brand conflicts
BK-LIT-0012,Poetry Horizontal Layout,詩集横組み,book,literary,literary,2000-2026,eu,Pattern BK-LIT-0012,詩集横組みパターン,spine,"{""trim_size_mm"": [105, 173], ""bleed_mm"": 3, ""margin_mm"": {""inner"": 15, ""top"": 18, ""outer"": 20, ""bottom"": 24}, ""type_area_mm"": {""x"": 15, ""y"": 18, ""w"": 93, ""h"": 152}, ""columns"": 1, ""gutter_mm"": 0, ""baseline_grid_pt"": 18.0, ""trim_size_name"": ""\u6587\u5eab\u5224""}","{""primary_face"": ""Hiragino Mincho"", ""size_pt"": 10, ""leading_pt"": 18.0, ""tracking_em"": 0.02, ""measure_chars"": 40}","{""primary"": ""#000000"", ""bg"": ""#FFFFFF""}",2,2,Use in literary,literaryで使用,Brand conflicts
BK-LIT-0013,Classical Serif Body Text,古典的セリフ体本文,book,literary,literary,2000-2026,jp,Pattern BK-LIT-0013,古典的セリフ体本文パターン,dust_jacket,"{""trim_size_mm"": [128, 188], ""bleed_mm"": 3, ""margin_mm"": {""inner"": 15, ""top"": 18, ""outer"": 20, ""bottom"": 24}, ""type_area_mm"": {""x"": 15, ""y"": 18, ""w"": 93, ""h"": 152}, ""columns"": 1, ""gutter_mm"": 0, ""baseline_grid_pt"": 18.0, ""trim_size_name"": ""\u56db\u516d\u5224""}","{""primary_face"": ""Hiragino Mincho"", ""size_pt"": 10, ""leading_pt"": 18.0, ""tracking_em"": 0.02, ""measure_chars"": 40}","{""primary"": ""#000000"", ""bg"": ""#FFFFFF""}",2,3,Use in literary,literaryで使用,Brand conflicts
BK-LIT-0014,Modern Literary Cover,モダン文芸表紙,book,literary,literary,2000-2026,us,Pattern BK-LIT-0014,モダン文芸表紙パターン,endpaper,"{""trim_size_mm"": [105, 173], ""bleed_mm"": 3, ""margin_mm"": {""inner"": 15, ""top"": 18, ""outer"": 20, ""bottom"": 24}, ""type_area_mm"": {""x"": 15, ""y"": 18, ""w"": 93, ""h"": 152}, ""columns"": 1, ""gutter_mm"": 0, ""baseline_grid_pt"": 18.0, ""trim_size_name"": ""\u65b0\u66f8\u5224""}","{""primary_face"": ""Hiragino Mincho"", ""size_pt"": 10, ""leading_pt"": 18.0, ""tracking_em"": 0.02, ""measure_chars"": 40}","{""primary"": ""#000000"", ""bg"": ""#FFFFFF""}",2,4,Use in literary,literaryで使用,Brand conflicts
BK-LIT-0015,Poetry Horizontal Layout,詩集横組み,book,literary,literary,2000-2026,eu,Pattern BK-LIT-0015,詩集横組みパターン,title_page,"{""trim_size_mm"": [182, 257], ""bleed_mm"": 3, ""margin_mm"": {""inner"": 15, ""top"": 18, ""outer"": 20, ""bottom"": 24}, ""type_area_mm"": {""x"": 15, ""y"": 18, ""w"": 93, ""h"": 152}, ""columns"": 1, ""gutter_mm"": 0, ""baseline_grid_pt"": 18.0, ""trim_size_name"": ""\u6587\u5eab\u5224""}","{""primary_face"": ""Hiragino Mincho"", ""size_pt"": 10, ""leading_pt"": 18.0, ""tracking_em"": 0.02, ""measure_chars"": 40}","{""primary"": ""#000000"", ""bg"": ""#FFFFFF""}",2,5,Use in literary,literaryで使用,Brand conflicts
BK-LIT-0016,Classical Serif Body Text,古典的セリフ体本文,book,literary,literary,2000-2026,jp,Pattern BK-LIT-0016,古典的セリフ体本文パターン,chapter_opener,"{""trim_size_mm"": [182, 257], ""bleed_mm"": 3, ""margin_mm"": {""inner"": 15, ""top"": 18, ""outer"": 20, ""bottom"": 24}, ""type_area_mm"": {""x"": 15, ""y"": 18, ""w"": 93, ""h"": 152}, ""columns"": 1, ""gutter_mm"": 0, ""baseline_grid_pt"": 18.0, ""trim_size_name"": ""\u56db\u516d\u5224""}","{""primary_face"": ""Hiragino Mincho"", ""size_pt"": 10, ""leading_pt"": 18.0, ""tracking_em"": 0.02, ""measure_chars"": 40}","{""primary"": ""#000000"", ""bg"": ""#FFFFFF""}",2,1,Use in literary,literaryで使用,Brand conflicts
BK-LIT-0017,Modern Literary Cover,モダン文芸表紙,book,literary,literary,2000-2026,us,Pattern BK-LIT-0017,モダン文芸表紙パターン,body,"{""trim_size_mm"": [105, 173], ""bleed_mm"": 3, ""margin_mm"": {""inner"": 15, ""top"": 18, ""outer"": 20, ""bottom"": 24}, ""type_area_mm"": {""x"": 15, ""y"": 18, ""w"": 93, ""h"": 152}, ""columns"": 1, ""gutter_mm"": 0, ""baseline_grid_pt"": 18.0, ""trim_size_name"": ""\u65b0\u66f8\u5224""}","{""primary_face"": ""Hiragino Mincho"", ""size_pt"": 10, ""leading_pt"": 18.0, ""tracking_em"": 0.02, ""measure_chars"": 40}","{""primary"": ""#000000"", ""bg"": ""#FFFFFF""}",2,2,Use in literary,literaryで使用,Brand conflicts
BK-LIT-0018,Poetry Horizontal Layout,詩集横組み,book,literary,literary,2000-2026,eu,Pattern BK-LIT-0018,詩集横組みパターン,columnette,"{""trim_size_mm"": [182, 257], ""bleed_mm"": 3, ""margin_mm"": {""inner"": 15, ""top"": 18, ""outer"": 20, ""bottom"": 24}, ""type_area_mm"": {""x"": 15, ""y"": 18, ""w"": 93, ""h"": 152}, ""columns"": 1, ""gutter_mm"": 0, ""baseline_grid_pt"": 18.0, ""trim_size_name"": ""\u6587\u5eab\u5224""}","{""primary_face"": ""Hiragino Mincho"", ""size_pt"": 10, ""leading_pt"": 18.0, ""tracking_em"": 0.02, ""measure_chars"": 40}","{""primary"": ""#000000"", ""bg"": ""#FFFFFF""}",2,3,Use in literary,literaryで使用,Brand conflicts
BK-LIT-0019,Classical Serif Body Text,古典的セリフ体本文,book,literary,literary,2000-2026,jp,Pattern BK-LIT-0019,古典的セリフ体本文パターン,colophon,"{""trim_size_mm"": [128, 188], ""bleed_mm"": 3, ""margin_mm"": {""inner"": 15, ""top"": 18, ""outer"": 20, ""bottom"": 24}, ""type_area_mm"": {""x"": 15, ""y"": 18, ""w"": 93, ""h"": 152}, ""columns"": 1, ""gutter_mm"": 0, ""baseline_grid_pt"": 18.0, ""trim_size_name"": ""\u56db\u516d\u5224""}","{""primary_face"": ""Hiragino Mincho"", ""size_pt"": 10, ""leading_pt"": 18.0, ""tracking_em"": 0.02, ""measure_chars"": 40}","{""primary"": ""#000000"", ""bg"": ""#FFFFFF""}",2,4,Use in literary,literaryで使用,Brand conflicts
BK-LIT-0020,Modern Literary Cover,モダン文芸表紙,book,literary,literary,2000-2026,us,Pattern BK-LIT-0020,モダン文芸表紙パターン,index,"{""trim_size_mm"": [128, 188], ""bleed_mm"": 3, ""margin_mm"": {""inner"": 15, ""top"": 18, ""outer"": 20, ""bottom"": 24}, ""type_area_mm"": {""x"": 15, ""y"": 18, ""w"": 93, ""h"": 152}, ""columns"": 1, ""gutter_mm"": 0, ""baseline_grid_pt"": 18.0, ""trim_size_name"": ""\u65b0\u66f8\u5224""}","{""primary_face"": ""Hiragino Mincho"", ""size_pt"": 10, ""leading_pt"": 18.0, ""tracking_em"": 0.02, ""measure_chars"": 40}","{""primary"": ""#000000"", ""bg"": ""#FFFFFF""}",2,5,Use in literary,literaryで使用,Brand conflicts
BK-LIT-0021,Poetry Horizontal Layout,詩集横組み,book,literary,literary,2000-2026,eu,Pattern BK-LIT-0021,詩集横組みパターン,cover,"{""trim_size_mm"": [210, 297], ""bleed_mm"": 3, ""margin_mm"": {""inner"": 15, ""top"": 18, ""outer"": 20, ""bottom"": 24}, ""type_area_mm"": {""x"": 15, ""y"": 18, ""w"": 93, ""h"": 152}, ""columns"": 1, ""gutter_mm"": 0, ""baseline_grid_pt"": 18.0, ""trim_size_name"": ""\u6587\u5eab\u5224""}","{""primary_face"": ""Hiragino Mincho"", ""size_pt"": 10, ""leading_pt"": 18.0, ""tracking_em"": 0.02, ""measure_chars"": 40}","{""primary"": ""#000000"", ""bg"": ""#FFFFFF""}",2,1,Use in literary,literaryで使用,Brand conflicts
BK-LIT-0022,Classical Serif Body Text,古典的セリフ体本文,book,literary,literary,2000-2026,jp,Pattern BK-LIT-0022,古典的セリフ体本文パターン,spine,"{""trim_size_mm"": [105, 148], ""bleed_mm"": 3, ""margin_mm"": {""inner"": 15, ""top"": 18, ""outer"": 20, ""bottom"": 24}, ""type_area_mm"": {""x"": 15, ""y"": 18, ""w"": 93, ""h"": 152}, ""columns"": 1, ""gutter_mm"": 0, ""baseline_grid_pt"": 18.0, ""trim_size_name"": ""\u56db\u516d\u5224""}","{""primary_face"": ""Hiragino Mincho"", ""size_pt"": 10, ""leading_pt"": 18.0, ""tracking_em"": 0.02, ""measure_chars"": 40}","{""primary"": ""#000000"", ""bg"": ""#FFFFFF""}",2,2,Use in literary,literaryで使用,Brand conflicts
BK-LIT-0023,Modern Literary Cover,モダン文芸表紙,book,literary,literary,2000-2026,us,Pattern BK-LIT-0023,モダン文芸表紙パターン,dust_jacket,"{""trim_size_mm"": [105, 173], ""bleed_mm"": 3, ""margin_mm"": {""inner"": 15, ""top"": 18, ""outer"": 20, ""bottom"": 24}, ""type_area_mm"": {""x"": 15, ""y"": 18, ""w"": 93, ""h"": 152}, ""columns"": 1, ""gutter_mm"": 0, ""baseline_grid_pt"": 18.0, ""trim_size_name"": ""\u65b0\u66f8\u5224""}","{""primary_face"": ""Hiragino Mincho"", ""size_pt"": 10, ""leading_pt"": 18.0, ""tracking_em"": 0.02, ""measure_chars"": 40}","{""primary"": ""#000000"", ""bg"": ""#FFFFFF""}",2,3,Use in literary,literaryで使用,Brand conflicts
BK-LIT-0024,Poetry Horizontal Layout,詩集横組み,book,literary,literary,2000-2026,eu,Pattern BK-LIT-0024,詩集横組みパターン,endpaper,"{""trim_size_mm"": [105, 173], ""bleed_mm"": 3, ""margin_mm"": {""inner"": 15, ""top"": 18, ""outer"": 20, ""bottom"": 24}, ""type_area_mm"": {""x"": 15, ""y"": 18, ""w"": 93, ""h"": 152}, ""columns"": 1, ""gutter_mm"": 0, ""baseline_grid_pt"": 18.0, ""trim_size_name"": ""\u6587\u5eab\u5224""}","{""primary_face"": ""Hiragino Mincho"", ""size_pt"": 10, ""leading_pt"": 18.0, ""tracking_em"": 0.02, ""measure_chars"": 40}","{""primary"": ""#000000"", ""bg"": ""#FFFFFF""}",2,4,Use in literary,literaryで使用,Brand conflicts
BK-LIT-0025,Classical Serif Body Text,古典的セリフ体本文,book,literary,literary,2000-2026,jp,Pattern BK-LIT-0025,古典的セリフ体本文パターン,title_page,"{""trim_size_mm"": [128, 188], ""bleed_mm"": 3, ""margin_mm"": {""inner"": 15, ""top"": 18, ""outer"": 20, ""bottom"": 24}, ""type_area_mm"": {""x"": 15, ""y"": 18, ""w"": 93, ""h"": 152}, ""columns"": 1, ""gutter_mm"": 0, ""baseline_grid_pt"": 18.0, ""trim_size_name"": ""\u56db\u516d\u5224""}","{""primary_face"": ""Hiragino Mincho"", ""size_pt"": 10, ""leading_pt"": 18.0, ""tracking_em"": 0.02, ""measure_chars"": 40}","{""primary"": ""#000000"", ""bg"": ""#FFFFFF""}",2,5,Use in literary,literaryで使用,Brand conflicts
BK-LIT-0026,Modern Literary Cover,モダン文芸表紙,book,literary,literary,2000-2026,us,Pattern BK-LIT-0026,モダン文芸表紙パターン,chapter_opener,"{""trim_size_mm"": [128, 188], ""bleed_mm"": 3, ""margin_mm"": {""inner"": 15, ""top"": 18, ""outer"": 20, ""bottom"": 24}, ""type_area_mm"": {""x"": 15, ""y"": 18, ""w"": 93, ""h"": 152}, ""columns"": 1, ""gutter_mm"": 0, ""baseline_grid_pt"": 18.0, ""trim_size_name"": ""\u65b0\u66f8\u5224""}","{""primary_face"": ""Hiragino Mincho"", ""size_pt"": 10, ""leading_pt"": 18.0, ""tracking_em"": 0.02, ""measure_chars"": 40}","{""primary"": ""#000000"", ""bg"": ""#FFFFFF""}",2,1,Use in literary,literaryで使用,Brand conflicts
BK-LIT-0027,Poetry Horizontal Layout,詩集横組み,book,literary,literary,2000-2026,eu,Pattern BK-LIT-0027,詩集横組みパターン,body,"{""trim_size_mm"": [128, 188], ""bleed_mm"": 3, ""margin_mm"": {""inner"": 15, ""top"": 18, ""outer"": 20, ""bottom"": 24}, ""type_area_mm"": {""x"": 15, ""y"": 18, ""w"": 93, ""h"": 152}, ""columns"": 1, ""gutter_mm"": 0, ""baseline_grid_pt"": 18.0, ""trim_size_name"": ""\u6587\u5eab\u5224""}","{""primary_face"": ""Hiragino Mincho"", ""size_pt"": 10, ""leading_pt"": 18.0, ""tracking_em"": 0.02, ""measure_chars"": 40}","{""primary"": ""#000000"", ""bg"": ""#FFFFFF""}",2,2,Use in literary,literaryで使用,Brand conflicts
BK-LIT-0028,Classical Serif Body Text,古典的セリフ体本文,book,literary,literary,2000-2026,jp,Pattern BK-LIT-0028,古典的セリフ体本文パターン,columnette,"{""trim_size_mm"": [210, 297], ""bleed_mm"": 3, ""margin_mm"": {""inner"": 15, ""top"": 18, ""outer"": 20, ""bottom"": 24}, ""type_area_mm"": {""x"": 15, ""y"": 18, ""w"": 93, ""h"": 152}, ""columns"": 1, ""gutter_mm"": 0, ""baseline_grid_pt"": 18.0, ""trim_size_name"": ""\u56db\u516d\u5224""}","{""primary_face"": ""Hiragino Mincho"", ""size_pt"": 10, ""leading_pt"": 18.0, ""tracking_em"": 0.02, ""measure_chars"": 40}","{""primary"": ""#000000"", ""bg"": ""#FFFFFF""}",2,3,Use in literary,literaryで使用,Brand conflicts
BK-LIT-0029,Modern Literary Cover,モダン文芸表紙,book,literary,literary,2000-2026,us,Pattern BK-LIT-0029,モダン文芸表紙パターン,colophon,"{""trim_size_mm"": [128, 188], ""bleed_mm"": 3, ""margin_mm"": {""inner"": 15, ""top"": 18, ""outer"": 20, ""bottom"": 24}, ""type_area_mm"": {""x"": 15, ""y"": 18, ""w"": 93, ""h"": 152}, ""columns"": 1, ""gutter_mm"": 0, ""baseline_grid_pt"": 18.0, ""trim_size_name"": ""\u65b0\u66f8\u5224""}","{""primary_face"": ""Hiragino Mincho"", ""size_pt"": 10, ""leading_pt"": 18.0, ""tracking_em"": 0.02, ""measure_chars"": 40}","{""primary"": ""#000000"", ""bg"": ""#FFFFFF""}",2,4,Use in literary,literaryで使用,Brand conflicts
BK-LIT-0030,Poetry Horizontal Layout,詩集横組み,book,literary,literary,2000-2026,eu,Pattern BK-LIT-0030,詩集横組みパターン,index,"{""trim_size_mm"": [105, 173], ""bleed_mm"": 3, ""margin_mm"": {""inner"": 15, ""top"": 18, ""outer"": 20, ""bottom"": 24}, ""type_area_mm"": {""x"": 15, ""y"": 18, ""w"": 93, ""h"": 152}, ""columns"": 1, ""gutter_mm"": 0, ""baseline_grid_pt"": 18.0, ""trim_size_name"": ""\u6587\u5eab\u5224""}","{""primary_face"": ""Hiragino Mincho"", ""size_pt"": 10, ""leading_pt"": 18.0, ""tracking_em"": 0.02, ""measure_chars"": 40}","{""primary"": ""#000000"", ""bg"": ""#FFFFFF""}",2,5,Use in literary,literaryで使用,Brand conflicts
BK-LIT-0031,Classical Serif Body Text,古典的セリフ体本文,book,literary,literary,2000-2026,jp,Pattern BK-LIT-0031,古典的セリフ体本文パターン,cover,"{""trim_size_mm"": [182, 257], ""bleed_mm"": 3, ""margin_mm"": {""inner"": 15, ""top"": 18, ""outer"": 20, ""bottom"": 24}, ""type_area_mm"": {""x"": 15, ""y"": 18, ""w"": 93, ""h"": 152}, ""columns"": 1, ""gutter_mm"": 0, ""baseline_grid_pt"": 18.0, ""trim_size_name"": ""\u56db\u516d\u5224""}","{""primary_face"": ""Hiragino Mincho"", ""size_pt"": 10, ""leading_pt"": 18.0, ""tracking_em"": 0.02, ""measure_chars"": 40}","{""primary"": ""#000000"", ""bg"": ""#FFFFFF""}",2,1,Use in literary,literaryで使用,Brand conflicts
BK-LIT-0032,Modern Literary Cover,モダン文芸表紙,book,literary,literary,2000-2026,us,Pattern BK-LIT-0032,モダン文芸表紙パターン,spine,"{""trim_size_mm"": [128, 188], ""bleed_mm"": 3, ""margin_mm"": {""inner"": 15, ""top"": 18, ""outer"": 20, ""bottom"": 24}, ""type_area_mm"": {""x"": 15, ""y"": 18, ""w"": 93, ""h"": 152}, ""columns"": 1, ""gutter_mm"": 0, ""baseline_grid_pt"": 18.0, ""trim_size_name"": ""\u65b0\u66f8\u5224""}","{""primary_face"": ""Hiragino Mincho"", ""size_pt"": 10, ""leading_pt"": 18.0, ""tracking_em"": 0.02, ""measure_chars"": 40}","{""primary"": ""#000000"", ""bg"": ""#FFFFFF""}",2,2,Use in literary,literaryで使用,Brand conflicts
BK-LIT-0033,Poetry Horizontal Layout,詩集横組み,book,literary,literary,2000-2026,eu,Pattern BK-LIT-0033,詩集横組みパターン,dust_jacket,"{""trim_size_mm"": [182, 257], ""bleed_mm"": 3, ""margin_mm"": {""inner"": 15, ""top"": 18, ""outer"": 20, ""bottom"": 24}, ""type_area_mm"": {""x"": 15, ""y"": 18, ""w"": 93, ""h"": 152}, ""columns"": 1, ""gutter_mm"": 0, ""baseline_grid_pt"": 18.0, ""trim_size_name"": ""\u6587\u5eab\u5224""}","{""primary_face"": ""Hiragino Mincho"", ""size_pt"": 10, ""leading_pt"": 18.0, ""tracking_em"": 0.02, ""measure_chars"": 40}","{""primary"": ""#000000"", ""bg"": ""#FFFFFF""}",2,3,Use in literary,literaryで使用,Brand conflicts
BK-LIT-0034,Classical Serif Body Text,古典的セリフ体本文,book,literary,literary,2000-2026,jp,Pattern BK-LIT-0034,古典的セリフ体本文パターン,endpaper,"{""trim_size_mm"": [210, 297], ""bleed_mm"": 3, ""margin_mm"": {""inner"": 15, ""top"": 18, ""outer"": 20, ""bottom"": 24}, ""type_area_mm"": {""x"": 15, ""y"": 18, ""w"": 93, ""h"": 152}, ""columns"": 1, ""gutter_mm"": 0, ""baseline_grid_pt"": 18.0, ""trim_size_name"": ""\u56db\u516d\u5224""}","{""primary_face"": ""Hiragino Mincho"", ""size_pt"": 10, ""leading_pt"": 18.0, ""tracking_em"": 0.02, ""measure_chars"": 40}","{""primary"": ""#000000"", ""bg"": ""#FFFFFF""}",2,4,Use in literary,literaryで使用,Brand conflicts
